name,download_path
Adapters,http://ftp1.babraham.ac.uk/ftpusr46/FastQ_Screen_Genomes/Adapters/
Arabidopsis,http://ftp1.babraham.ac.uk/ftpusr46/FastQ_Screen_Genomes/Arabidopsis/
Drosophila,http://ftp1.babraham.ac.uk/ftpusr46/FastQ_Screen_Genomes/Drosophila/
E_coli,http://ftp1.babraham.ac.uk/ftpusr46/FastQ_Screen_Genomes/E_coli/
Human,http://ftp1.babraham.ac.uk/ftpusr46/FastQ_Screen_Genomes/Human/
Lambda,http://ftp1.babraham.ac.uk/ftpusr46/FastQ_Screen_Genomes/Lambda/
Mitochondria,http://ftp1.babraham.ac.uk/ftpusr46/FastQ_Screen_Genomes/Mitochondria/
Mouse,http://ftp1.babraham.ac.uk/ftpusr46/FastQ_Screen_Genomes/Mouse/
PhiX,http://ftp1.babraham.ac.uk/ftpusr46/FastQ_Screen_Genomes/PhiX/
Rat,http://ftp1.babraham.ac.uk/ftpusr46/FastQ_Screen_Genomes/Rat/
Vectors,http://ftp1.babraham.ac.uk/ftpusr46/FastQ_Screen_Genomes/Vectors/
Worm,http://ftp1.babraham.ac.uk/ftpusr46/FastQ_Screen_Genomes/Worm/
Yeast,http://ftp1.babraham.ac.uk/ftpusr46/FastQ_Screen_Genomes/Yeast/
rRNA,http://ftp1.babraham.ac.uk/ftpusr46/FastQ_Screen_Genomes/rRNA/
fastq_screen.conf,http://ftp1.babraham.ac.uk/ftpusr46/FastQ_Screen_Genomes/fastq_screen.conf
